STATION,NAME,DATE,PRCP,TAVG
PP000092035,"PORT MORESBY W.O., PP",1988-01,7.28,81.5
PP000092035,"PORT MORESBY W.O., PP",1988-02,3.82,81.9
PP000092035,"PORT MORESBY W.O., PP",1988-04,3.23,81.8
PP000092035,"PORT MORESBY W.O., PP",1988-05,3.82,81.8
PP000092035,"PORT MORESBY W.O., PP",1988-06,3.31,79.9
PP000092035,"PORT MORESBY W.O., PP",1988-07,0.43,80.4
PP000092035,"PORT MORESBY W.O., PP",1988-08,0.2,81.3
PP000092035,"PORT MORESBY W.O., PP",1988-09,1.06,81.4
PP000092035,"PORT MORESBY W.O., PP",1988-10,0.67,80.9
PP000092035,"PORT MORESBY W.O., PP",1988-11,6.1,83.4
PP000092035,"PORT MORESBY W.O., PP",1988-12,8.74,81.6
PP000092035,"PORT MORESBY W.O., PP",1989-01,3.5,82.2
PP000092035,"PORT MORESBY W.O., PP",1989-02,4.69,81.1
PP000092035,"PORT MORESBY W.O., PP",1989-03,10.87,80.5
PP000092035,"PORT MORESBY W.O., PP",1989-04,8.94,80.6
PP000092035,"PORT MORESBY W.O., PP",1989-05,1.69,80.7
PP000092035,"PORT MORESBY W.O., PP",1989-06,0.75,80.4
PP000092035,"PORT MORESBY W.O., PP",1989-07,3.5,80.1
PP000092035,"PORT MORESBY W.O., PP",1989-08,1.73,79.1
PP000092035,"PORT MORESBY W.O., PP",1989-09,0.98,80.9
PP000092035,"PORT MORESBY W.O., PP",1989-10,5.12,82.3
PP000092035,"PORT MORESBY W.O., PP",1989-11,4.96,81.6
PP000092035,"PORT MORESBY W.O., PP",1989-12,5.39,81.6
PP000092035,"PORT MORESBY W.O., PP",1990-01,16.54,80.9
PP000092035,"PORT MORESBY W.O., PP",1990-02,2.83,81
PP000092035,"PORT MORESBY W.O., PP",1990-03,14.37,80.9
PP000092035,"PORT MORESBY W.O., PP",1990-04,2.56,81.5
PP000092035,"PORT MORESBY W.O., PP",1990-05,1.1,82.3
PP000092035,"PORT MORESBY W.O., PP",1990-06,6.85,79.7
PP000092035,"PORT MORESBY W.O., PP",1990-07,0.59,79
PP000092035,"PORT MORESBY W.O., PP",1990-08,2.28,77.6
PP000092035,"PORT MORESBY W.O., PP",1990-09,2.48,79
PP000092035,"PORT MORESBY W.O., PP",1990-10,0.51,81
PP000092035,"PORT MORESBY W.O., PP",1990-11,1.22,82.3
PP000092035,"PORT MORESBY W.O., PP",1990-12,1.93,83
PP000092035,"PORT MORESBY W.O., PP",1991-01,12.68,82.7
PP000092035,"PORT MORESBY W.O., PP",1991-02,4.09,81.5
PP000092035,"PORT MORESBY W.O., PP",1991-03,3.94,79.6
PP000092035,"PORT MORESBY W.O., PP",1991-04,1.97,81.8
PP000092035,"PORT MORESBY W.O., PP",1991-05,4.53,78.9
PP000092035,"PORT MORESBY W.O., PP",1991-06,0.16,79
PP000092035,"PORT MORESBY W.O., PP",1991-07,0.12,79.6
PP000092035,"PORT MORESBY W.O., PP",1991-08,1.73,79.3
PP000092035,"PORT MORESBY W.O., PP",1991-09,0.2,78.7
PP000092035,"PORT MORESBY W.O., PP",1991-10,1.18,80.7
PP000092035,"PORT MORESBY W.O., PP",1991-11,1.77,81.3
PP000092035,"PORT MORESBY W.O., PP",1991-12,2.68,82.9
PP000092035,"PORT MORESBY W.O., PP",1992-01,4.92,82.2
PP000092035,"PORT MORESBY W.O., PP",1992-02,3.58,82.3
PP000092035,"PORT MORESBY W.O., PP",1992-03,3.27,81.5
PP000092035,"PORT MORESBY W.O., PP",1992-04,3.23,80.7
PP000092035,"PORT MORESBY W.O., PP",1992-05,0.47,81.8
